index,lat,lon,heading_deg,point_type,next_seg_type
0,29.16954299,119.88307509,-42.4,0,0
1,29.16957890,119.88303749,-68.0,1,0
2,29.16959745,119.88290645,-84.6,0,0
3,29.16960001,119.88287534,-74.0,1,0
